"nameTeam","idTeam","slugTeam","salaries"
"Miami Heat","1610612748","MIA",153171497
"Golden State Warriors","1610612744","GSW",146291276
"Oklahoma City Thunder","1610612760","OKC",144916427
"Toronto Raptors","1610612761","TOR",137793831
"Milwaukee Bucks","1610612749","MIL",130988604
"Portland Trail Blazers","1610612757","POR",130256600
"Detroit Pistons","1610612765","DET",126557932
"Houston Rockets","1610612745","HOU",126474100
"Memphis Grizzlies","1610612763","MEM",126107461
"Boston Celtics","1610612738","BOS",125334993
"Washington Wizards","1610612764","WAS",123747588
"New York Knicks","1610612752","NYK",123387454
"Cleveland Cavaliers","1610612739","CLE",123255073
"Minnesota Timberwolves","1610612750","MIN",121962221
"San Antonio Spurs","1610612759","SAS",121588790
"Charlotte Hornets","1610612766","CHA",121427859
"Brooklyn Nets","1610612751","BKN",118850600
"Denver Nuggets","1610612743","DEN",118327016
"Los Angeles Clippers","1610612746","LAC",118026816
"New Orleans Pelicans","1610612740","NOP",116052756
"Philadelphia 76ers","1610612755","PHI",115127167
"Orlando Magic","1610612753","ORL",114394213
"Utah Jazz","1610612762","UTA",113826156
"Chicago Bulls","1610612741","CHI",112598201
"Indiana Pacers","1610612754","IND",110724804
"Phoenix Suns","1610612756","PHX",108692835
"Los Angeles Lakers","1610612747","LAL",107225482
"Sacramento Kings","1610612758","SAC",101466920
"Dallas Mavericks","1610612742","DAL",86958881
"Atlanta Hawks","1610612737","ATL",79180081
